0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@10.9.2
2 info using node@v22.15.1
3 silly config load:file:C:\Program Files\nodejs\node_modules\npm\npmrc
4 silly config load:file:C:\project\badbuz\GuaranteedSportPicks\.npmrc
5 silly config load:file:C:\Users\rakib\.npmrc
6 silly config load:file:C:\Users\rakib\npm-global\etc\npmrc
7 verbose title npm i nodemailer
8 verbose argv "i" "nodemailer"
9 verbose logfile logs-max:10 dir:C:\project\badbuz\GuaranteedSportPicks\UsersmynameAppDataRoamingnpm-cache\_logs\2025-11-18T03_09_08_998Z-
10 verbose logfile C:\project\badbuz\GuaranteedSportPicks\UsersmynameAppDataRoamingnpm-cache\_logs\2025-11-18T03_09_08_998Z-debug-0.log
11 silly logfile start cleaning logs, removing 1 files
12 silly packumentCache heap:4345298944 maxSize:1086324736 maxEntrySize:543162368
13 silly logfile done cleaning log files
14 silly idealTree buildDeps
15 silly fetch manifest nodemailer@*
16 silly packumentCache full:https://registry.npmjs.org/nodemailer cache-miss
17 http fetch GET 200 https://registry.npmjs.org/nodemailer 289ms (cache revalidated)
18 silly packumentCache full:https://registry.npmjs.org/nodemailer set size:551189 disposed:false
19 silly placeDep ROOT nodemailer@7.0.10 OK for: my-app@0.1.0 want: *
20 silly reify moves {}
21 verbose reify failed optional dependency C:\project\badbuz\GuaranteedSportPicks\node_modules\@tailwindcss\oxide-wasm32-wasi
22 silly reify mark deleted [
22 silly reify   'C:\\project\\badbuz\\GuaranteedSportPicks\\node_modules\\@tailwindcss\\oxide-wasm32-wasi'
22 silly reify ]
23 silly audit bulk request {
23 silly audit   '@alloc/quick-lru': [ '5.2.0' ],
23 silly audit   '@babel/code-frame': [ '7.27.1' ],
23 silly audit   '@babel/compat-data': [ '7.28.5' ],
23 silly audit   '@babel/core': [ '7.28.5' ],
23 silly audit   '@babel/generator': [ '7.28.5' ],
23 silly audit   '@babel/helper-compilation-targets': [ '7.27.2' ],
23 silly audit   '@babel/helper-globals': [ '7.28.0' ],
23 silly audit   '@babel/helper-module-imports': [ '7.27.1' ],
23 silly audit   '@babel/helper-module-transforms': [ '7.28.3' ],
23 silly audit   '@babel/helper-string-parser': [ '7.27.1' ],
23 silly audit   '@babel/helper-validator-identifier': [ '7.28.5' ],
23 silly audit   '@babel/helper-validator-option': [ '7.27.1' ],
23 silly audit   '@babel/helpers': [ '7.28.4' ],
23 silly audit   '@babel/parser': [ '7.28.5' ],
23 silly audit   '@babel/runtime': [ '7.28.4' ],
23 silly audit   '@babel/template': [ '7.27.2' ],
23 silly audit   '@babel/traverse': [ '7.28.5' ],
23 silly audit   '@babel/types': [ '7.28.5' ],
23 silly audit   '@emnapi/core': [ '1.7.0' ],
23 silly audit   '@emnapi/runtime': [ '1.7.0' ],
23 silly audit   '@emnapi/wasi-threads': [ '1.1.0' ],
23 silly audit   '@eslint-community/eslint-utils': [ '4.9.0' ],
23 silly audit   'eslint-visitor-keys': [ '3.4.3', '4.2.1' ],
23 silly audit   '@eslint-community/regexpp': [ '4.12.2' ],
23 silly audit   '@eslint/config-array': [ '0.21.1' ],
23 silly audit   '@eslint/config-helpers': [ '0.4.2' ],
